epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43594,3.18536,7.55376,2.36027,0,0,0,0,3.44596,6.62389,2.66351,4.375e-05,4.375e-05,4.375e-05
2,18.3303,2.77334,5.3553,1.89118,0.41342,0.24546,0.16667,0.06598,2.23346,6.3582,1.55706,9.28219e-05,9.28219e-05,9.28219e-05
3,26.7925,2.07858,3.26954,1.44296,0.30159,0.60932,0.38825,0.17256,2.09992,5.94305,1.46809,0.000140904,0.000140904,0.000140904
4,32.3934,1.93166,2.61234,1.34687,0.51072,0.6375,0.59159,0.28741,2.00514,3.37009,1.37611,0.000187996,0.000187996,0.000187996
5,40.9862,1.88829,2.31535,1.30043,0.52825,0.64527,0.65098,0.29521,2.07306,2.39105,1.36786,0.000234097,0.000234097,0.000234097
6,46.8952,1.84401,1.90774,1.28746,0.79045,0.72199,0.82747,0.37853,1.90699,1.74135,1.31191,0.000279209,0.000279209,0.000279209
7,52.3419,1.80185,1.70264,1.25331,0.89914,0.7255,0.89246,0.4119,1.86028,1.56417,1.28337,0.000323331,0.000323331,0.000323331
8,57.9389,1.76625,1.64357,1.28097,0.73708,0.80992,0.88803,0.39307,1.99053,1.36388,1.36447,0.000366463,0.000366463,0.000366463
9,63.429,1.76401,1.54152,1.23871,0.8335,0.78602,0.84563,0.38877,1.9538,1.22187,1.35704,0.000408605,0.000408605,0.000408605
10,71.7197,1.79611,1.41075,1.2733,0.81636,0.82467,0.90091,0.40771,1.94298,1.12748,1.39364,0.000449757,0.000449757,0.000449757
11,77.4793,1.84644,1.433,1.27682,0.82005,0.84754,0.84476,0.38041,1.98356,1.18646,1.36302,0.000489919,0.000489919,0.000489919
12,85.9162,1.788,1.29216,1.25594,0.85154,0.8111,0.87283,0.41169,1.90646,1.17474,1.34291,0.000529091,0.000529091,0.000529091
13,93.81,1.78773,1.28914,1.23586,0.77427,0.84622,0.843,0.41099,1.9507,1.11731,1.37274,0.00055075,0.00055075,0.00055075
14,101.752,1.7475,1.29142,1.24461,0.8776,0.94856,0.97636,0.45482,1.9204,1.06852,1.34157,0.000544563,0.000544563,0.000544563
15,110.058,1.73362,1.23583,1.21446,0.82747,0.90118,0.93847,0.44511,1.8473,1.06271,1.31674,0.000538375,0.000538375,0.000538375
16,117.874,1.70232,1.24196,1.23605,0.89459,0.92401,0.92912,0.45545,1.85112,1.01156,1.30985,0.000532187,0.000532187,0.000532187
17,125.636,1.75001,1.14762,1.21148,0.89812,0.97195,0.97417,0.47331,1.8892,0.94471,1.32035,0.000526,0.000526,0.000526
18,134.014,1.70352,1.10382,1.22783,0.83743,0.9547,0.94876,0.48581,1.85185,0.90697,1.30516,0.000519812,0.000519812,0.000519812
19,142.277,1.68105,1.10211,1.18046,0.90157,0.87206,0.93722,0.46853,1.90717,0.94455,1.33724,0.000513625,0.000513625,0.000513625
20,150.322,1.6803,1.06344,1.21636,0.92945,0.9302,0.95325,0.47929,1.91751,0.85746,1.3524,0.000507438,0.000507438,0.000507438
21,158.386,1.71849,1.05698,1.24555,0.92716,0.94764,0.96591,0.47806,1.92772,0.84369,1.37103,0.00050125,0.00050125,0.00050125
22,166.718,1.66895,1.03323,1.20368,0.93927,0.96128,0.97251,0.48434,1.91211,0.82011,1.35035,0.000495063,0.000495063,0.000495063
23,175.383,1.69308,1.00476,1.22444,0.91812,0.95297,0.98607,0.4835,1.94654,0.8474,1.3972,0.000488875,0.000488875,0.000488875
24,183.777,1.7104,1.05046,1.25316,0.88833,0.93092,0.95908,0.45982,1.95984,0.86238,1.40426,0.000482687,0.000482687,0.000482687
25,192.237,1.6733,1.02011,1.20574,0.88989,0.9232,0.94906,0.44969,1.92698,0.91081,1.38646,0.0004765,0.0004765,0.0004765
26,200.247,1.68193,0.9836,1.20526,0.84986,0.86095,0.92292,0.45803,1.94882,0.9419,1.3691,0.000470312,0.000470312,0.000470312
27,207.969,1.68513,0.9776,1.23109,0.93865,0.979,0.995,0.50083,1.92949,0.82884,1.33615,0.000464125,0.000464125,0.000464125
28,215.664,1.71022,0.956,1.19012,0.84566,0.90054,0.93583,0.47354,1.88982,0.91648,1.32783,0.000457938,0.000457938,0.000457938
29,223.383,1.61696,0.9709,1.16307,0.94234,0.92846,0.98607,0.50383,1.86295,0.83237,1.31671,0.00045175,0.00045175,0.00045175
30,231.087,1.62636,0.90668,1.21188,0.89218,0.94477,0.96404,0.48842,1.95329,0.82024,1.37416,0.000445562,0.000445562,0.000445562
31,238.877,1.66498,0.94977,1.21646,0.91815,0.95774,0.9711,0.49652,1.90798,0.78388,1.3777,0.000439375,0.000439375,0.000439375
32,246.417,1.61822,0.87869,1.18084,0.91844,0.94279,0.96777,0.4888,1.90684,0.76604,1.35738,0.000433187,0.000433187,0.000433187
33,254.432,1.68438,0.94075,1.16856,0.9189,0.94181,0.9783,0.47866,1.973,0.78186,1.40538,0.000427,0.000427,0.000427
34,262.337,1.68625,0.95504,1.20026,0.88525,0.96406,0.97092,0.48249,1.91684,0.77786,1.371,0.000420812,0.000420812,0.000420812
35,269.968,1.57375,0.95942,1.15675,0.93248,0.96846,0.97317,0.48687,1.96597,0.76464,1.36111,0.000414625,0.000414625,0.000414625
36,277.681,1.5488,0.89411,1.15516,0.94057,0.97382,0.98905,0.48706,1.90373,0.77541,1.33486,0.000408438,0.000408438,0.000408438
37,285.5,1.58769,0.93012,1.18337,0.94531,0.94319,0.97326,0.50181,1.8881,0.76416,1.32649,0.00040225,0.00040225,0.00040225
38,293.204,1.59084,0.88422,1.15598,0.9554,0.95475,0.97326,0.51116,1.8518,0.73808,1.31713,0.000396063,0.000396063,0.000396063
39,301.055,1.59652,0.85231,1.16277,0.93566,0.96681,0.99083,0.48968,1.95932,0.77886,1.36801,0.000389875,0.000389875,0.000389875
40,308.708,1.65569,0.89596,1.18145,0.89852,0.93548,0.96714,0.4844,1.884,0.77736,1.33896,0.000383688,0.000383688,0.000383688
41,316.397,1.61507,0.84985,1.1889,0.93843,0.96295,0.97575,0.51069,1.85667,0.75088,1.3102,0.0003775,0.0003775,0.0003775
42,324.103,1.6282,0.83054,1.1878,0.93088,0.95884,0.97331,0.50856,1.84192,0.7313,1.28906,0.000371313,0.000371313,0.000371313
43,331.839,1.57293,0.8296,1.1472,0.89137,0.96528,0.96866,0.49217,1.87984,0.73546,1.3027,0.000365125,0.000365125,0.000365125
44,339.498,1.59238,0.87541,1.17326,0.88177,0.93641,0.95616,0.50038,1.87476,0.71986,1.32601,0.000358938,0.000358938,0.000358938
45,347.354,1.56809,0.83726,1.16888,0.92695,0.93067,0.96816,0.51386,1.85861,0.71015,1.30433,0.00035275,0.00035275,0.00035275
46,355.264,1.53496,0.79115,1.14456,0.93244,0.92202,0.96277,0.49708,1.8574,0.74672,1.3238,0.000346563,0.000346563,0.000346563
47,362.829,1.58167,0.81725,1.19459,0.92913,0.92371,0.9638,0.49965,1.88496,0.73486,1.33326,0.000340375,0.000340375,0.000340375
48,370.589,1.65167,0.84626,1.18652,0.91641,0.91754,0.94741,0.50614,1.89443,0.70813,1.3373,0.000334188,0.000334188,0.000334188
49,378.622,1.51297,0.81575,1.13774,0.89464,0.93927,0.95602,0.48493,1.87566,0.73088,1.33376,0.000328,0.000328,0.000328
50,387.042,1.5518,0.82014,1.1694,0.91538,0.95251,0.97155,0.49624,1.84672,0.72963,1.30201,0.000321812,0.000321812,0.000321812
51,395.396,1.57149,0.81046,1.15549,0.92375,0.94874,0.9712,0.48708,1.88671,0.74717,1.31251,0.000315625,0.000315625,0.000315625
52,404.055,1.57297,0.81618,1.1727,0.92437,0.94724,0.96646,0.46494,1.95039,0.774,1.3494,0.000309437,0.000309437,0.000309437
53,413.117,1.60931,0.84461,1.18934,0.90588,0.96788,0.96422,0.44806,1.96063,0.7709,1.35061,0.00030325,0.00030325,0.00030325
54,421.966,1.51645,0.83372,1.17123,0.93502,0.98611,0.9783,0.5147,1.86874,0.70087,1.29865,0.000297063,0.000297063,0.000297063
55,430.524,1.5349,0.80942,1.15102,0.94443,0.97318,0.97797,0.5071,1.87824,0.71312,1.3077,0.000290875,0.000290875,0.000290875
56,439.206,1.52552,0.78928,1.13845,0.92134,0.96253,0.96678,0.48337,1.91138,0.72003,1.3146,0.000284688,0.000284688,0.000284688
57,447.57,1.62969,0.82841,1.19517,0.8942,0.94398,0.94291,0.49914,1.87559,0.71098,1.29385,0.0002785,0.0002785,0.0002785
58,455.962,1.48933,0.78478,1.13222,0.91762,0.97337,0.97107,0.49892,1.89152,0.70842,1.31081,0.000272313,0.000272313,0.000272313
59,464.387,1.53839,0.77722,1.18064,0.92101,0.98353,0.97107,0.51245,1.86968,0.68737,1.30165,0.000266125,0.000266125,0.000266125
60,472.77,1.51445,0.79069,1.13722,0.94151,0.97164,0.97274,0.49971,1.86327,0.67588,1.2968,0.000259938,0.000259938,0.000259938
61,480.982,1.55928,0.79041,1.16164,0.94716,0.97016,0.97149,0.51031,1.86136,0.69463,1.31612,0.00025375,0.00025375,0.00025375
62,489.371,1.49071,0.75856,1.10982,0.91467,0.95465,0.96738,0.50703,1.84958,0.69849,1.31595,0.000247563,0.000247563,0.000247563
63,497.761,1.51577,0.78061,1.14408,0.93016,0.96298,0.97161,0.52009,1.85262,0.67567,1.30456,0.000241375,0.000241375,0.000241375
64,506.188,1.55514,0.78781,1.15416,0.92434,0.98178,0.97133,0.50517,1.87825,0.67877,1.30873,0.000235188,0.000235188,0.000235188
65,516.145,1.49496,0.76834,1.09656,0.9213,0.96603,0.9712,0.50899,1.8738,0.67724,1.30501,0.000229,0.000229,0.000229
66,524.591,1.47326,0.76106,1.08457,0.91085,0.96007,0.94955,0.50403,1.88263,0.67158,1.31894,0.000222813,0.000222813,0.000222813
67,533.287,1.46511,0.76374,1.12742,0.93282,0.98358,0.97169,0.50683,1.88271,0.6651,1.31729,0.000216625,0.000216625,0.000216625
68,541.761,1.47356,0.7252,1.10661,0.9529,0.97748,0.97155,0.50942,1.87098,0.6573,1.31466,0.000210437,0.000210437,0.000210437
69,550.286,1.49914,0.76649,1.127,0.9423,0.97143,0.97391,0.49733,1.91617,0.66609,1.33402,0.00020425,0.00020425,0.00020425
70,559.063,1.49556,0.76373,1.13596,0.94689,0.96536,0.97161,0.49049,1.93601,0.67697,1.34203,0.000198063,0.000198063,0.000198063
71,567.545,1.47428,0.71866,1.12975,0.93264,0.97345,0.97133,0.49308,1.92102,0.70146,1.33912,0.000191875,0.000191875,0.000191875
72,576.204,1.45282,0.71198,1.08374,0.92436,0.97531,0.97128,0.503,1.91835,0.68606,1.34474,0.000185688,0.000185688,0.000185688
73,584.438,1.45524,0.70622,1.09347,0.93231,0.96682,0.97161,0.50546,1.91892,0.67619,1.35821,0.0001795,0.0001795,0.0001795
74,592.956,1.43195,0.72458,1.08752,0.94248,0.96668,0.97196,0.4884,1.9431,0.67324,1.37537,0.000173313,0.000173313,0.000173313
75,601.271,1.47126,0.7368,1.13938,0.94461,0.97123,0.97196,0.50044,1.92652,0.66744,1.35806,0.000167125,0.000167125,0.000167125
76,609.569,1.42197,0.68236,1.08051,0.93474,0.97989,0.97207,0.49001,1.91779,0.66514,1.34844,0.000160938,0.000160938,0.000160938
77,617.974,1.42182,0.71885,1.12474,0.93208,0.9752,0.97169,0.4937,1.92517,0.67618,1.34987,0.00015475,0.00015475,0.00015475
78,626.94,1.44801,0.72935,1.10348,0.93291,0.97608,0.97169,0.48679,1.93409,0.68354,1.36152,0.000148563,0.000148563,0.000148563
79,635.229,1.46557,0.74698,1.11155,0.92092,0.96438,0.94643,0.47757,1.96334,0.67557,1.37962,0.000142375,0.000142375,0.000142375
80,643.7,1.40924,0.71834,1.09869,0.94356,0.98338,0.97138,0.47831,1.97851,0.66448,1.38261,0.000136187,0.000136187,0.000136187
81,652.417,1.45275,0.72779,1.11146,0.94761,0.97691,0.97128,0.49412,1.94687,0.66422,1.36469,0.00013,0.00013,0.00013
82,660.936,1.49128,0.73085,1.12087,0.94903,0.97261,0.97128,0.48717,1.92893,0.6636,1.35772,0.000123812,0.000123812,0.000123812
83,669.317,1.41071,0.70896,1.09559,0.93526,0.97561,0.97149,0.48357,1.91319,0.66223,1.34892,0.000117625,0.000117625,0.000117625
84,677.753,1.42991,0.6928,1.11868,0.92584,0.98611,0.97169,0.48494,1.91703,0.65787,1.34936,0.000111438,0.000111438,0.000111438
85,686.114,1.3962,0.68939,1.08525,0.93081,0.98611,0.97169,0.49203,1.9074,0.64462,1.33867,0.00010525,0.00010525,0.00010525
86,694.282,1.42587,0.69042,1.0992,0.92721,0.96944,0.9499,0.49166,1.91075,0.64278,1.34297,9.90625e-05,9.90625e-05,9.90625e-05
87,702.586,1.39093,0.66316,1.04772,0.92824,0.96944,0.95016,0.49176,1.91851,0.65972,1.34989,9.2875e-05,9.2875e-05,9.2875e-05
88,710.827,1.42999,0.66936,1.11907,0.92817,0.96944,0.95026,0.49275,1.91713,0.65589,1.35366,8.66875e-05,8.66875e-05,8.66875e-05
89,719.016,1.41151,0.68356,1.07481,0.93037,0.96916,0.95026,0.49884,1.90892,0.64851,1.35287,8.05e-05,8.05e-05,8.05e-05
90,727.132,1.43648,0.67911,1.10894,0.94636,0.98611,0.97234,0.49358,1.90648,0.6474,1.34566,7.43125e-05,7.43125e-05,7.43125e-05
